date,from_maturity,to_maturity,fwdCofDiv100pct,fwdCofDivMarket
2024-04-03,6M,3M,0.005390970514843674,0.005390970514843674
2024-04-03,1Y,3M,0.00601180384394596,0.00601180384394596
2024-04-03,1Y,6M,0.006325631680635028,0.006325631680635028
2024-04-03,2Y,3M,0.005909017290888048,0.005909017290888048
2024-04-03,2Y,6M,0.005996147644445784,0.005996147644445784
2024-04-03,2Y,1Y,0.005831856974345943,0.005831856974345943
2024-04-10,6M,3M,0.0056402452180352464,0.0056402452180352464
2024-04-10,1Y,3M,0.006385665086688582,0.006385665086688582
2024-04-10,1Y,6M,0.00676247073457928,0.00676247073457928
2024-04-10,2Y,3M,0.005959281662919949,0.005959281662919949
2024-04-10,2Y,6M,0.006012940443412439,0.006012940443412439
2024-04-10,2Y,1Y,0.005639202051652537,0.005639202051652537
2024-04-17,6M,3M,0.005720775704664618,0.005720775704664618
2024-04-17,1Y,3M,0.006543579534367337,0.006543579534367337
2024-04-17,1Y,6M,0.006959502349381899,0.006959502349381899
2024-04-17,2Y,3M,0.0060646614966674995,0.0060646614966674995
2024-04-17,2Y,6M,0.006122499692031787,0.006122499692031787
2024-04-17,2Y,1Y,0.005705144942339402,0.005705144942339402
2024-04-24,6M,3M,0.005958630537125509,0.005958630537125509
2024-04-24,1Y,3M,0.006516831589473324,0.006516831589473324
2024-04-24,1Y,6M,0.006798999154396396,0.006798999154396396
2024-04-24,2Y,3M,0.006250902510265203,0.006250902510265203
2024-04-24,2Y,6M,0.006300059770829832,0.006300059770829832
2024-04-24,2Y,1Y,0.006051273557654174,0.006051273557654174
2024-05-01,6M,3M,0.005785248568207644,0.005785248568207644
2024-05-01,1Y,3M,0.006382992699028771,0.006382992699028771
2024-05-01,1Y,6M,0.0066868184450814975,0.0066868184450814975
2024-05-01,2Y,3M,0.006024340175171583,0.006024340175171583
2024-05-01,2Y,6M,0.006064626673048292,0.006064626673048292
2024-05-01,2Y,1Y,0.005756087739519495,0.005756087739519495
2024-05-08,6M,3M,0.0057445464343887824,0.0057445464343887824
2024-05-08,1Y,3M,0.0060828160063091915,0.0060828160063091915
2024-05-08,1Y,6M,0.006254754131263212,0.006254754131263212
2024-05-08,2Y,3M,0.005988365666516942,0.005988365666516942
2024-05-08,2Y,6M,0.006029448760575167,0.006029448760575167
2024-05-08,2Y,1Y,0.005917721987713424,0.005917721987713424
2024-05-15,6M,3M,0.0060803991556895995,0.0060803991556895995
2024-05-15,1Y,3M,0.0065141417087833595,0.0065141417087833595
2024-05-15,1Y,6M,0.006734607536875215,0.006734607536875215
2024-05-15,2Y,3M,0.006248640812684758,0.006248640812684758
2024-05-15,2Y,6M,0.0062769892237535384,0.0062769892237535384
2024-05-15,2Y,1Y,0.00605006069039731,0.00605006069039731
2024-05-22,6M,3M,0.006315114004698597,0.006315114004698597
2024-05-22,1Y,3M,0.006785382889014091,0.006785382889014091
2024-05-22,1Y,6M,0.007024414587119203,0.007024414587119203
2024-05-22,2Y,3M,0.006505907657936626,0.006505907657936626
2024-05-22,2Y,6M,0.006538056039068309,0.006538056039068309
2024-05-22,2Y,1Y,0.006296875498801974,0.006296875498801974
2024-05-29,6M,3M,0.006313128064991995,0.006313128064991995
2024-05-29,1Y,3M,0.006813126470784976,0.006813126470784976
2024-05-29,1Y,6M,0.007067269306878647,0.007067269306878647
2024-05-29,2Y,3M,0.006526848001231888,0.006526848001231888
2024-05-29,2Y,6M,0.006562859419059855,0.006562859419059855
2024-05-29,2Y,1Y,0.00631272739249766,0.00631272739249766
2024-06-05,6M,3M,0.006898187049969042,0.006898187049969042
2024-06-05,1Y,3M,0.007374508734424288,0.007374508734424288
2024-06-05,1Y,6M,0.00761266957665191,0.00761266957665191
2024-06-05,2Y,3M,0.006989811094145712,0.006989811094145712
2024-06-05,2Y,6M,0.007005053851037992,0.007005053851037992
2024-06-05,2Y,1Y,0.006702078338540093,0.006702078338540093
2024-06-12,6M,3M,0.007007534644756497,0.007007534644756497
2024-06-12,1Y,3M,0.007371581296023394,0.007371581296023394
2024-06-12,1Y,6M,0.007553604621656841,0.007553604621656841
2024-06-12,2Y,3M,0.007088575924397816,0.007088575924397816
2024-06-12,2Y,6M,0.007102058111687323,0.007102058111687323
2024-06-12,2Y,1Y,0.006876903413565535,0.006876903413565535
2024-06-26,6M,3M,0.007323422444687122,0.007323422444687122
2024-06-26,1Y,3M,0.007526118835675899,0.007526118835675899
2024-06-26,1Y,6M,0.007627467031170288,0.007627467031170288
2024-06-26,2Y,3M,0.007509446294610903,0.007509446294610903
2024-06-26,2Y,6M,0.007540393589570801,0.007540393589570801
2024-06-26,2Y,1Y,0.00749697614745818,0.00749697614745818
2024-07-03,6M,3M,0.007867103449529702,0.007867103449529702
2024-07-03,1Y,3M,0.007500710562453105,0.007500710562453105
2024-07-03,1Y,6M,0.007314477713773285,0.007314477713773285
2024-07-03,2Y,3M,0.007249328436593301,0.007249328436593301
2024-07-03,2Y,6M,0.007145234478369586,0.007145234478369586
