T_years,projection_pct,discount_pct,diff_bps
0.0,3.717241130254778,3.717241130254778,0.0
0.0027397260273972603,3.717241130254778,3.717241130254778,0.0
0.024657534246575342,3.7434033193944005,3.7434033193944005,0.0
0.043835616438356165,3.7396658815198824,3.7396658815198824,0.0
0.09041095890410959,3.745466161632849,3.745466161632849,0.0
0.17534246575342466,3.7465575450744915,3.7465575450744915,0.0
0.25753424657534246,3.746064605845345,3.746064605845345,0.0
0.34794520547945207,3.743845101354104,3.743845101354104,0.0
0.4273972602739726,3.7434486180075277,3.7434486180075277,0.0
0.5095890410958904,3.7447727478011172,3.7447727478011172,0.0
0.5972602739726027,3.7502291860544767,3.7502291860544767,0.0
0.6767123287671233,3.7562207329215225,3.7562207329215225,0.0
0.7616438356164383,3.76153297186006,3.76153297186006,0.0
0.8383561643835616,3.7658527062776503,3.7658527062776503,0.0
0.9232876712328767,3.7720944663174105,3.7720944663174105,0.0
1.0054794520547945,3.7779741907432607,3.7779741907432607,0.0
1.5095890410958903,3.7959505448182718,3.7959505448182718,0.0
2.0082191780821916,3.7858558958511868,3.7858558958511868,0.0
3.0136986301369864,3.7599468397259805,3.7599468397259805,0.0
4.010958904109589,3.7626217091791814,3.7626217091791814,0.0
5.008219178082192,3.7905783860447295,3.7905783860447295,0.0
6.010958904109589,3.838587307598895,3.838587307598895,0.0
7.010958904109589,3.8898118283742233,3.8898118283742233,0.0
8.01095890410959,3.9424343760008584,3.9424343760008584,0.0
9.016438356164384,3.9950346617845245,3.9950346617845245,0.0
10.013698630136986,4.047888778431896,4.047888778431896,0.0
12.013698630136986,4.152338386076315,4.152338386076315,0.0
15.01917808219178,4.2884881617430315,4.2884881617430315,0.0
20.024657534246575,4.404407720227144,4.404407720227144,0.0
25.02191780821918,4.395357355041174,4.395357355041174,0.0
30.027397260273972,4.324595732955627,4.324595732955627,0.0
40.032876712328765,4.080932943386029,4.080932943386029,0.0
50.04109589041096,3.800145324099846,3.800145324099846,0.0
