date,maturity,cofDiv100pct,cofDivMarket
2024-11-27,2Y,0.00796,0.00477
2024-12-04,3M,0.00961,0.00755
2024-12-04,6M,0.01193,0.00621
2024-12-04,1Y,0.00963,0.00534
2024-12-04,2Y,0.00959,0.00524
2024-12-11,3M,0.01057,0.00843
2024-12-11,6M,0.01212,0.00589
2024-12-11,1Y,0.00941,0.00513
2024-12-11,2Y,0.00941,0.00507
2024-12-18,3M,0.01078,0.0088
2024-12-18,6M,0.01252,0.00595
2024-12-18,1Y,0.00922,0.00502
2024-12-18,2Y,0.00919,0.00488
2025-01-08,3M,0.00693,0.0034
2025-01-08,6M,0.01093,0.00358
2025-01-08,1Y,0.00776,0.00336
2025-01-08,2Y,0.00802,0.0036
2025-01-15,3M,0.00759,0.00395
2025-01-15,6M,0.00994,0.00263
2025-01-15,1Y,0.00783,0.00345
2025-01-15,2Y,0.00817,0.00378
2025-01-22,3M,0.00814,0.00406
2025-01-22,6M,0.01091,0.00371
2025-01-22,1Y,0.00826,0.00395
2025-01-22,2Y,0.00854,0.00424
2025-01-29,3M,0.00915,0.00452
2025-01-29,6M,0.0106,0.00331
2025-01-29,1Y,0.00885,0.00449
2025-01-29,2Y,0.00895,0.00465
2025-02-05,3M,0.00996,0.00467
2025-02-05,6M,0.01162,0.00452
2025-02-05,1Y,0.00918,0.00483
2025-02-05,2Y,0.00938,0.0051
2025-02-12,3M,0.01127,0.00519
2025-02-12,6M,0.01204,0.00454
2025-02-12,1Y,0.00978,0.00517
2025-02-12,2Y,0.00975,0.00524
2025-02-19,3M,0.01652,0.00428
2025-02-19,6M,0.01134,0.00421
2025-02-19,1Y,0.00924,0.0048
2025-02-19,2Y,0.00919,0.00479
2025-02-26,3M,0.01699,0.00432
2025-02-26,6M,0.01157,0.0044
2025-02-26,1Y,0.00932,0.00486
2025-02-26,2Y,0.00936,0.00497
2025-03-05,3M,0.0174,0.00482
2025-03-05,6M,0.0114,0.00435
2025-03-05,1Y,0.00953,0.00497
2025-03-05,2Y,0.00939,0.00496
2025-03-12,3M,0.0183,0.00493
2025-03-12,6M,0.01193,0.00467
2025-03-12,1Y,0.00981,0.00495
2025-03-12,2Y,0.00979,0.00509
2025-03-19,3M,0.01693,0.00364
2025-03-19,6M,0.01098,0.00381
2025-03-19,1Y,0.00899,0.0041
2025-03-19,2Y,0.00909,0.00441
2025-03-26,3M,0.01526,0.00245
2025-03-26,6M,0.01074,0.00388
2025-03-26,1Y,0.00864,0.00379
2025-03-26,2Y,0.00894,0.00428
2025-04-02,3M,0.01613,0.00216
2025-04-02,6M,0.01066,0.00341
2025-04-02,1Y,0.0096,0.00438
2025-04-02,2Y,0.00905,0.00422
2025-04-09,3M,0.01556,0.0
2025-04-09,6M,0.00935,0.00184
2025-04-09,1Y,0.0094,0.00351
2025-04-09,2Y,0.00881,0.00371
2025-04-16,3M,0.01608,0.00081
2025-04-16,6M,0.01,0.00225
2025-04-16,1Y,0.0097,0.00395
2025-04-16,2Y,0.00886,0.00387
2025-04-23,3M,0.01398,0.00101
2025-04-23,6M,0.00913,0.00233
2025-04-23,1Y,0.00923,0.0038
2025-04-23,2Y,0.00878,0.00405
2025-04-30,3M,0.01274,0.00069
2025-04-30,6M,0.00863,0.00233
2025-04-30,1Y,0.00862,0.00328
2025-04-30,2Y,0.0084,0.00381
2025-05-07,3M,0.00809,0.00114
2025-05-07,6M,0.00661,0.00228
2025-05-07,1Y,0.00759,0.00319
2025-05-07,2Y,0.0077,0.00372
2025-05-14,3M,0.00471,0.00147
2025-05-14,6M,0.00522,0.00282
2025-05-14,1Y,0.00708,0.00356
2025-05-14,2Y,0.00743,0.00401
