bbg_name,isin,ric_attempt,resolution_method
FLTR US,US4642875126,FLTR.K,rule
FM US,US01300H1059,FM.O@RIC,rule
FRAZ US,US47011Q4453,FRAZ.PK,rule
FSLR US,US3364331070,FSLR.OQ,rule
FTV US,US34959J1088,FTV.O@RIC,rule
GD US,US3695501086,GD.O@RIC,rule
GFF US,US3989051094,GFF.O@RIC,rule
GGAL US,US4016301098,GGAL.OQ,rule
GIB US,US46433Z2993,GIB.P@RIC,rule
GILD US,US3755581036,GILD.OQ,rule
GME US,US36467W1099,GME.O@RIC,rule
GMAB US,US37248Q1067,GMAB.OQ,rule
GOOG US,US02079K3059,GOOG.OQ,rule
GS US,US38141G1040,GS.O@RIC,rule
HAL US,US4062161017,HAL.O@RIC,rule
HDB US,US40415F1049,HDB.O@RIC,rule
HD US,US4370761029,HD.O@RIC,rule
HES US,US42809H1077,HES.OQ,rule
HIG US,US4165151048,HIG.O@RIC,rule
HMC US,JP3854600008,HMC.O@RIC,rule
HON US,US4385161066,HON.OQ,rule
HPQ US,US40434L1052,HPQ.O@RIC,rule
HSBC GB,GB0005405286,HSBA.L@RIC,rule
HUM US,US4448591028,HUM.O@RIC,rule
HXL US,US4270961033,HXL.O@RIC,rule
IBM US,US4592001014,IBM.O@RIC,rule
ICE US,US45866F1049,ICE.O@RIC,rule
ILMN US,US4523271090,ILMN.OQ,rule
INDA US,US4642872349,INDA.P@RIC,rule
INTC US,US4581401001,INTC.OQ,rule
INTU US,US4612021034,INTU.OQ,rule
ISRG US,US46120E6023,ISRG.OQ,rule
ITUB US,US4655061025,ITUB.N,rule
IVV US,US4642872000,IVV.P@RIC,rule
JPM US,US46625H1005,JPM.O@RIC,rule
JNJ US,US4781601046,JNJ.O@RIC,rule
JSW PL,PLJSW0000011,JSW.WA,rule
K DP,US4878361082,K.N^L25,rule
KHC US,US5007541064,KHC.OQ,rule
KO US,US1912161007,KO.O@RIC,rule
LFC CN,CNE1000002Z8,LFC.N,rule
LMT US,US5398301094,LMT.O@RIC,rule
LOW US,US5486611073,LOW.O@RIC,rule
LRCX US,US50520R1014,LRCX.OQ,rule
LULU US,US5500211090,LULU.OQ,rule
MCD US,US5801351017,MCD.O@RIC,rule
MELI US,US58733R1023,MELI.OQ,rule
META US,US30303M1027,META.OQ,rule
MGM US,US5529531015,MGM.O@RIC,rule
MMM US,US88579Y1010,MMM.O@RIC,rule
MO US,US02209S1033,MO.O@RIC,rule
MU US,US5951121038,MU.OQ,rule
NFLX US,US64110L1061,NFLX.P@RIC,rule
NKE US,US6541061031,NKE.O@RIC,rule
NOK US,US6549022040,NOK.O@RIC,rule
NVDA US,US67066G1040,NVDA.OQ,rule
NSRGY US,CH0038863350,NSRGY.PK,rule
